Trial number,Gaze,Target location,Congruency,Target identity,Response,Correct,Response time
145,2,1,2,2,2,1,446.8607000017073
146,2,2,1,1,1,1,543.3288999993238
147,2,1,2,2,2,1,544.883700000355
148,2,2,1,1,1,1,662.794899999426
149,2,1,2,2,2,1,500.2136999974027
150,2,1,2,2,2,1,490.8434999997553
151,2,1,2,2,2,1,436.99479999850155
152,2,2,1,2,2,1,605.8488999988185
153,2,2,1,2,2,1,472.13759999795
154,2,1,2,1,1,1,456.77400000204216
155,2,1,2,2,2,1,525.8962000007159
156,2,1,2,1,1,1,527.8868999994302
157,1,2,2,1,1,1,635.6599999999162
158,1,1,1,2,2,1,409.22589999900083
159,2,2,1,2,2,1,658.5286000008637
160,2,2,1,2,2,1,496.1066999967443
161,2,2,1,2,2,1,572.113399997761
162,2,2,1,1,1,1,519.1842999993241
163,2,1,2,1,1,1,520.8271000010427
164,2,2,1,1,1,1,500.7136999993236
165,2,1,2,1,1,1,472.16569999727653
166,1,1,1,1,1,1,489.9440000008326
167,2,1,2,1,1,1,471.3942999987921
168,2,1,2,2,2,1,489.08400000073016
169,1,2,2,2,2,1,569.395300000906
170,1,1,1,2,2,1,474.78700000283425
171,2,1,2,2,2,1,505.70370000059484
172,2,2,1,1,1,1,505.5826000025263
173,2,1,2,2,2,1,460.94929999890155
174,2,2,1,2,2,1,516.2277999988873
175,2,1,2,1,2,2,424.11300000094343
176,2,1,2,1,1,1,668.2508000012604
177,2,2,1,2,2,1,554.4549000005645
178,1,1,1,1,1,1,510.660400002962
179,2,2,1,1,1,1,643.5468000017863
180,2,2,1,2,2,1,529.0547999975388
181,2,2,1,1,1,1,635.154200001125
182,2,1,2,2,2,1,528.8438999996288
183,2,2,1,2,2,1,699.9770999973407
184,2,2,1,1,1,1,492.1567999990657
185,2,1,2,2,2,1,577.507499998319
186,2,2,1,2,2,1,525.7963000003656
187,2,1,2,1,1,1,447.21239999853424
188,2,1,2,2,2,1,564.508499999647
189,2,2,1,2,2,1,550.0417999974161
190,1,2,2,1,1,1,776.3433999971312
191,1,1,1,2,2,1,474.3746000021929
192,2,2,1,2,2,1,660.8601000007184
